VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2018-12-01 00:24:14,2018-12-01 00:32:01,1,1.10,1,N,79,249,1,6.5,0.5,0.5,1.56,0,0.3,9.36
1,2018-12-01 00:33:49,2018-12-01 00:45:11,1,2.10,1,N,249,87,1,10,0.5,0.5,1.13,0,0.3,12.43
1,2018-12-01 00:55:09,2018-12-01 01:33:45,1,8.80,1,N,249,82,2,31,0.5,0.5,0,0,0.3,32.3
1,2018-12-01 00:33:09,2018-12-01 00:46:02,1,2.10,1,N,100,224,1,10,0.5,0.5,2.25,0,0.3,13.55
1,2018-12-01 00:05:37,2018-12-01 00:15:36,1,1.80,1,N,249,4,1,9,0.5,0.5,1,0,0.3,11.3
1,2018-12-01 00:21:51,2018-12-01 00:30:48,3,1.40,1,N,79,90,2,8,0.5,0.5,0,0,0.3,9.3
1,2018-12-01 00:32:56,2018-12-01 00:36:09,1,.70,1,N,90,186,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2018-12-01 00:39:13,2018-12-01 00:42:58,1,.60,1,N,100,170,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2018-12-01 00:54:46,2018-12-01 01:35:49,1,5.70,1,N,114,188,1,28.5,0.5,0.5,5.95,0,0.3,35.75
2,2018-12-01 00:15:35,2018-12-01 00:27:27,2,1.44,1,N,100,48,1,9,0.5,0.5,1.03,0,0.3,13.28
2,2018-12-01 00:32:53,2018-12-01 00:54:19,2,5.87,1,N,100,42,2,20,0.5,0.5,0,0,0.3,21.3
1,2018-12-01 00:03:10,2018-12-01 00:21:59,2,3.90,1,N,48,41,1,14.5,0.5,0.5,0,0,0.3,15.8
1,2018-12-01 00:23:36,2018-12-01 00:30:56,1,1.50,1,N,41,42,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018-12-01 00:10:07,2018-12-01 00:19:12,1,.68,1,N,26,26,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2018-12-01 00:12:53,2018-12-01 00:35:58,1,4.16,1,N,161,231,2,17,0.5,0.5,0,0,0.3,18.3
2,2018-12-01 00:38:21,2018-12-01 00:50:13,1,2.16,1,N,231,90,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2018-12-01 00:20:45,2018-12-01 00:35:23,1,1.47,1,N,148,125,1,10.5,0.5,0.5,0.5,0,0.3,12.3
2,2018-12-01 00:36:41,2018-12-01 00:40:47,1,1.20,1,N,125,13,1,5.5,0.5,0.5,2.04,0,0.3,8.84
2,2018-12-01 00:52:29,2018-12-01 00:59:56,1,1.04,1,N,114,79,1,6.5,0.5,0.5,1,0,0.3,8.8
2,2018-12-01 01:03:19,2018-12-01 01:17:29,1,1.72,1,N,79,249,1,10,0.5,0.5,2.82,0,0.3,14.12
2,2018-12-01 00:45:47,2018-12-01 01:14:10,1,19.27,1,N,132,66,1,51.5,0.5,0.5,10.56,0,0.3,63.36
2,2018-12-01 00:04:04,2018-12-01 00:15:08,2,2.44,1,N,45,231,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2018-12-01 00:27:20,2018-12-01 00:32:11,2,1.28,1,N,158,186,1,6,0.5,0.5,1,0,0.3,8.3
2,2018-12-01 00:37:14,2018-12-01 00:57:04,1,3.82,1,N,164,209,1,15,0.5,0.5,1,0,0.3,17.3
1,2018-12-01 00:11:13,2018-12-01 00:48:13,1,20.00,2,N,132,166,1,52,0,0.5,5.86,5.76,0.3,64.42
1,2018-12-01 00:00:23,2018-12-01 00:04:04,1,.70,1,N,162,100,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2018-12-01 00:06:36,2018-12-01 00:18:54,1,3.00,1,N,48,151,2,11.5,0.5,0.5,0,0,0.3,12.8
1,2018-12-01 00:19:52,2018-12-01 00:28:57,1,2.40,1,N,151,116,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2018-12-01 00:02:16,2018-12-01 00:20:42,1,3.60,1,N,107,262,1,15,0.5,0.5,4.89,0,0.3,21.19
1,2018-12-01 00:11:14,2018-12-01 00:26:54,1,5.20,1,N,256,54,1,17.5,0.5,0.5,4.7,0,0.3,23.5
1,2018-12-01 00:32:05,2018-12-01 00:40:01,1,1.30,1,N,33,25,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018-12-01 00:03:09,2018-12-01 00:20:08,1,5.10,1,N,170,74,2,17,0.5,0.5,0,0,0.3,18.3
2,2018-12-01 00:50:40,2018-12-01 01:10:13,1,3.77,1,N,162,4,1,16,0.5,0.5,3.46,0,0.3,20.76
1,2018-12-01 00:03:46,2018-12-01 00:26:38,1,4.40,1,N,261,49,1,17.5,0.5,0.5,2,0,0.3,20.8
1,2018-12-01 00:54:50,2018-12-01 01:01:57,1,1.90,1,N,114,13,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2018-12-01 00:40:49,2018-12-01 00:48:42,1,1.60,1,N,237,143,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2018-12-01 00:42:34,2018-12-01 00:50:15,1,2.50,1,N,112,97,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2018-12-01 00:07:56,2018-12-01 00:17:08,2,2.20,1,N,68,239,1,9.5,0.5,0.5,2.15,0,0.3,12.95
2,2018-12-01 00:01:19,2018-12-01 00:10:14,1,1.38,1,N,229,141,1,7.5,0.5,0.5,1,0,0.3,9.8
2,2018-12-01 00:11:18,2018-12-01 00:33:28,1,3.72,1,N,141,90,1,16,0.5,0.5,2.6,0,0.3,19.9
2,2018-12-01 00:36:22,2018-12-01 00:56:54,1,4.54,1,N,90,25,1,16,0.5,0.5,2,0,0.3,19.3
1,2018-12-01 00:00:09,2018-12-01 00:10:26,1,1.30,1,N,151,239,1,8.5,0.5,0.5,2.9,0,0.3,12.7
1,2018-12-01 00:13:20,2018-12-01 00:26:49,1,5.80,1,N,239,243,1,18.5,0.5,0.5,3.95,0,0.3,23.75
1,2018-12-01 00:15:27,2018-12-01 00:41:04,1,4.60,1,N,144,142,1,19.5,0.5,0.5,3.12,0,0.3,23.92
1,2018-12-01 00:57:24,2018-12-01 01:06:23,1,1.60,1,N,163,186,1,8,0.5,0.5,2.75,0,0.3,12.05
1,2018-12-01 00:01:49,2018-12-01 00:11:48,2,1.70,1,N,163,137,2,9,0.5,0.5,0,0,0.3,10.3
1,2018-12-01 00:15:47,2018-12-01 00:26:05,1,2.90,1,N,170,263,1,11,0.5,0.5,3.05,0,0.3,15.35
1,2018-12-01 00:41:36,2018-12-01 00:55:36,1,3.90,1,N,233,151,1,14,0.5,0.5,3.05,0,0.3,18.35
1,2018-12-01 00:11:01,2018-12-01 00:23:10,1,4.00,1,N,140,42,1,14,0.5,0.5,0,0,0.3,15.3
1,2018-12-01 00:47:48,2018-12-01 00:52:44,1,1.90,1,N,140,263,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2018-12-01 00:04:53,2018-12-01 00:56:10,2,5.18,1,N,249,36,1,33.5,0.5,0.5,6.96,0,0.3,41.76
2,2018-12-01 00:02:50,2018-12-01 00:05:56,1,.63,1,N,107,137,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,2018-12-01 00:11:26,2018-12-01 00:52:06,1,11.12,1,N,137,133,1,36.5,0.5,0.5,3,0,0.3,40.8
1,2018-12-01 00:10:47,2018-12-01 00:15:58,1,.80,1,N,255,112,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2018-12-01 00:22:32,2018-12-01 00:29:11,5,1.11,1,N,162,48,2,6,0.5,0.5,0,0,0.3,7.3
2,2018-12-01 00:35:55,2018-12-01 00:42:54,5,1.00,1,N,142,143,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2018-12-01 00:55:06,2018-12-01 01:13:14,5,3.44,1,N,246,237,2,14,0.5,0.5,0,0,0.3,15.3
